source_url,category,gold_name,extracted_name,name_similarity,name_close,gold_address,extracted_address,address_similarity,address_close,gold_telephone,extracted_telephone,telephone_match,gold_accepted_animals,extracted_accepted_animals,accepted_animals_jaccard,gold_animal_pickup,extracted_animal_pickup,animal_pickup_match
https://marswildliferescue.com/,STATION,MARS,MARS Wildlife Rescue,0.333,False,"""1331 Williams Beach Road","1331 Williams Beach Road, Merville, BC",0.762,False,Merville,250-337-2021,,Vancouver Island,,0.0,"BC""",False,False
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Greifvogelhilfe Sachsen e. V.,,0.0,False,"""Nordstraße 4",,,,"01689 Weinböhla""",,,0171/26 45 180,,,Greifvögel,,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,NABU Wildvogelhilfe Jena,,0.0,False,07749 Jena,,,,0155 10018479,,,Wildvögel,,,,,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Naturschutz-Tierpark Görlitz,,0.0,False,"""Zittauer Straße 43",,,,"02826 Görlitz""",,,03581/406616,,,Vögel,,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Naturschutzstation Neschwitz,,0.0,False,"""Park 1",,,,"02699 Neschwitz""",,,035933/30077,,,Vögel,,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Private Vogel- und Igelpflegestation Bad Elster,,0.0,False,"""Corinna Heinrich",,,,Untere Reuth 8,,,"08645 Bad Elster""",,,037437/3925,,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Tierpark Weißwasser e. V.,,0.0,False,"""Teichstraße 56",,,,"02943 Weißwasser""",,,03576/208366,,,"""Vögel (außer Krähen",,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Wildvogelhilfe Dölzschen – Rettungsstation für Dohlen,Wildvogelhilfe.org - Auffangstationen,0.622,False,"""Peter Stephan",Various locations in Germany,0.238,False,Am Kirschberg 23,See individual stations,,"01187 Dresden""",Birds|Raptors|Falcons|Owls|Swallows|Mistle Thrushes|Small songbirds|Doves|Crows|Choughs|Hawks,0.0,035131905030,False,False
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Wildvogelhilfe Leipzig,,0.0,False,04157 Leipzig,,,,0341 927 62 027,,,Mauersegler|Schwalben|kleine Singvögel,,,,,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/,LIST,Falknerei Burg Greifenstein,,0.0,False,07422 Bad Blankenburg,,,,,,,Greifvögel|Falken|Eulen,,,,,
http://www.greifvogelhilfe.de//greifvogelhilfe,STATION,Greifvogelhilfe Rheinland,Greifvogelhilfe Rheinland,1.0,True,,Falknerei Burg Greifenstein,,,0170-2122524,0170-2122524,True,Greifvögel|Falken|Eulen,Greifvögel|Falken|Eulen,1.0,,False,
