source_url,name,address,telephone,accepted_animals,animal_pickup
https://marswildliferescue.com/, MARS,"1331 Williams Beach Road, Merville, Vancouver Island, BC", +12503372021, , False
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Greifvogelhilfe Sachsen e. V.,"Nordstraße 4, 01689 Weinböhla", 0171/26 45 180, Greifvögel,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, NABU Wildvogelhilfe Jena, 07749 Jena, 0155 10018479, Wildvögel,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Naturschutz-Tierpark Görlitz,"Zittauer Straße 43, 02826 Görlitz", 03581/406616, Vögel,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Naturschutzstation Neschwitz,"Park 1, 02699 Neschwitz", 035933/30077, Vögel
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Private Vogel- und Igelpflegestation Bad Elster,"Corinna Heinrich, Untere Reuth 8, 08645 Bad Elster", 037437/3925, Singvögel|Schwalben|Mauersegler,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Tierpark Weißwasser e. V.,"Teichstraße 56, 02943 Weißwasser", 03576/208366,"Vögel (außer Krähen, Elstern, Eichelhähern)",
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Wildvogelhilfe Dölzschen – Rettungsstation für Dohlen,"Peter Stephan, Am Kirschberg 23, 01187 Dresden", 035131905030, Dohlen,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Wildvogelhilfe Leipzig, 04157 Leipzig, 0341 927 62 027, Mauersegler|Schwalben|kleine Singvögel,
https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0/, Falknerei Burg Greifenstein, 07422 Bad Blankenburg, , Greifvögel|Falken|Eulen,
http://www.greifvogelhilfe.de//greifvogelhilfe, Greifvogelhilfe Rheinland, , 0170-2122524, Greifvögel|Falken|Eulen,
