sample,condition,repeat,seconds,prompt_tokens,completion_tokens,total_tokens,extracted_json
hedgehog_station,strict_enum,0,14.302,275,32,307,"{ ""name"": ""Igelstation Musterstadt"", ""accepted_animals"": [ ""hedgehog"", ""bird"", ""lagomorph""] }"
hedgehog_station,strict_enum,1,14.258,275,32,307,"{ ""name"": ""Igelstation Musterstadt"", ""accepted_animals"": [ ""hedgehog"", ""bird"", ""lagomorph""] }"
hedgehog_station,strict_enum,2,14.301,275,32,307,"{ ""name"": ""Igelstation Musterstadt"", ""accepted_animals"": [ ""hedgehog"", ""bird"", ""lagomorph""] }"
hedgehog_station,lax_string,0,10.991,157,34,191,"{ ""name"": ""Igelstation Musterstadt"", ""accepted_animals"": [ ""Igel"", ""Voegel"", ""junge Feldhasen"" ] }"
hedgehog_station,lax_string,1,10.907,157,34,191,"{ ""name"": ""Igelstation Musterstadt"", ""accepted_animals"": [ ""Igel"", ""Voegel"", ""junge Feldhasen"" ] }"
hedgehog_station,lax_string,2,11.085,157,34,191,"{ ""name"": ""Igelstation Musterstadt"", ""accepted_animals"": [ ""Igel"", ""Voegel"", ""junge Feldhasen"" ] }"
wildlife_multi,strict_enum,0,16.957,278,47,325,"{ ""name"": ""Wildtierauffangstation Nordwald"", ""accepted_animals"": [ ""rodent"", ""ungulate"", ""hedgehog"", ""bird_of_prey"", ""owl"", ""bat""] }"
wildlife_multi,strict_enum,1,17.558,278,47,325,"{ ""name"": ""Wildtierauffangstation Nordwald"", ""accepted_animals"": [ ""rodent"", ""ungulate"", ""hedgehog"", ""bird_of_prey"", ""owl"", ""bat""] }"
wildlife_multi,strict_enum,2,17.141,278,47,325,"{ ""name"": ""Wildtierauffangstation Nordwald"", ""accepted_animals"": [ ""rodent"", ""ungulate"", ""hedgehog"", ""bird_of_prey"", ""owl"", ""bat""] }"
wildlife_multi,lax_string,0,16.634,160,65,225,"{ ""name"": ""Wildtierauffangstation Nordwald"", ""accepted_animals"": [ ""Fuechse"", ""Rehkitze"", ""Eichhoernchen"", ""verletzte Greifvoegel"", ""Eulen"", ""Falken"", ""Fledermaeuse"" ] }"
wildlife_multi,lax_string,1,14.414,160,65,225,"{ ""name"": ""Wildtierauffangstation Nordwald"", ""accepted_animals"": [ ""Fuechse"", ""Rehkitze"", ""Eichhoernchen"", ""verletzte Greifvoegel"", ""Eulen"", ""Falken"", ""Fledermaeuse"" ] }"
wildlife_multi,lax_string,2,14.212,160,65,225,"{ ""name"": ""Wildtierauffangstation Nordwald"", ""accepted_animals"": [ ""Fuechse"", ""Rehkitze"", ""Eichhoernchen"", ""verletzte Greifvoegel"", ""Eulen"", ""Falken"", ""Fledermaeuse"" ] }"
reptile_center,strict_enum,0,13.292,277,34,311,"{ ""name"": ""Reptilienauffangstation Suedstadt"", ""accepted_animals"": [ ""snake"", ""lizard"", ""turtle""] }"
reptile_center,strict_enum,1,13.403,277,34,311,"{ ""name"": ""Reptilienauffangstation Suedstadt"", ""accepted_animals"": [ ""snake"", ""lizard"", ""turtle""] }"
reptile_center,strict_enum,2,13.202,277,34,311,"{ ""name"": ""Reptilienauffangstation Suedstadt"", ""accepted_animals"": [ ""snake"", ""lizard"", ""turtle""] }"
reptile_center,lax_string,0,10.515,159,40,199,"{ ""name"": ""Reptilienauffangstation Suedstadt"", ""accepted_animals"": [ ""Schlangen"", ""Echsen"", ""Schildkroeten"" ] }"
reptile_center,lax_string,1,10.487,159,40,199,"{ ""name"": ""Reptilienauffangstation Suedstadt"", ""accepted_animals"": [ ""Schlangen"", ""Echsen"", ""Schildkroeten"" ] }"
reptile_center,lax_string,2,10.464,159,40,199,"{ ""name"": ""Reptilienauffangstation Suedstadt"", ""accepted_animals"": [ ""Schlangen"", ""Echsen"", ""Schildkroeten"" ] }"
bird_rescue,strict_enum,0,12.791,268,33,301,"{ ""name"": ""Wildvogelhilfe am See"", ""accepted_animals"": [ ""waterbird"", ""songbird"", ""seabird""] }"
bird_rescue,strict_enum,1,12.809,268,33,301,"{ ""name"": ""Wildvogelhilfe am See"", ""accepted_animals"": [ ""waterbird"", ""songbird"", ""seabird""] }"
bird_rescue,strict_enum,2,12.764,268,33,301,"{ ""name"": ""Wildvogelhilfe am See"", ""accepted_animals"": [ ""waterbird"", ""songbird"", ""seabird""] }"
bird_rescue,lax_string,0,10.554,150,39,189,"{ ""name"": ""Wildvogelhilfe am See"", ""accepted_animals"": [ ""Enten"", ""Schwaene"", ""Singvoegel"", ""Seevoegel"" ] }"
bird_rescue,lax_string,1,10.157,150,39,189,"{ ""name"": ""Wildvogelhilfe am See"", ""accepted_animals"": [ ""Enten"", ""Schwaene"", ""Singvoegel"", ""Seevoegel"" ] }"
bird_rescue,lax_string,2,10.073,150,39,189,"{ ""name"": ""Wildvogelhilfe am See"", ""accepted_animals"": [ ""Enten"", ""Schwaene"", ""Singvoegel"", ""Seevoegel"" ] }"
shelter_generic,strict_enum,0,11.657,259,26,285,"{ ""name"": ""Tierheim Talblick"", ""accepted_animals"": [ ""mammal"", ""bird""] }"
shelter_generic,strict_enum,1,12.068,259,26,285,"{ ""name"": ""Tierheim Talblick"", ""accepted_animals"": [ ""mammal"", ""bird""] }"
shelter_generic,strict_enum,2,12.815,259,26,285,"{ ""name"": ""Tierheim Talblick"", ""accepted_animals"": [ ""mammal"", ""bird""] }"
shelter_generic,lax_string,0,12.419,141,46,187,"{ ""name"": ""Tierheim Talblick"", ""accepted_animals"": [ ""Hunde"", ""Katzen"", ""Kaninchen"", ""Meerschweinchen"", ""Papageien"", ""Voegel"" ] }"
shelter_generic,lax_string,1,11.098,141,46,187,"{ ""name"": ""Tierheim Talblick"", ""accepted_animals"": [ ""Hunde"", ""Katzen"", ""Kaninchen"", ""Meerschweinchen"", ""Papageien"", ""Voegel"" ] }"
shelter_generic,lax_string,2,11.049,141,46,187,"{ ""name"": ""Tierheim Talblick"", ""accepted_animals"": [ ""Hunde"", ""Katzen"", ""Kaninchen"", ""Meerschweinchen"", ""Papageien"", ""Voegel"" ] }"
amphibian_pond,strict_enum,0,12.258,265,30,295,"{ ""name"": ""Amphibienstation Teichrand"", ""accepted_animals"": [ ""frog"", ""salamander""] }"
amphibian_pond,strict_enum,1,12.351,265,30,295,"{ ""name"": ""Amphibienstation Teichrand"", ""accepted_animals"": [ ""frog"", ""salamander""] }"
amphibian_pond,strict_enum,2,12.355,265,30,295,"{ ""name"": ""Amphibienstation Teichrand"", ""accepted_animals"": [ ""frog"", ""salamander""] }"
amphibian_pond,lax_string,0,10.772,147,42,189,"{ ""name"": ""Amphibienstation Teichrand"", ""accepted_animals"": [ ""Froeschen"", ""Kroeten"", ""Molchen"", ""Fische"" ] }"
