entity_id,relevant,wildlife,contactable,problem,source_categories,n_sources,name,address,telephone,e-mail,station_url,service_area,accepted_animals,description,source_urls
1147,yes,yes,yes,,LIST,1,Eulen- und Greifvogelschutz Appenheim e.V.,"Kloppgasse 15, 55437 Appenheim","[""0151 - 20 455 156""]",,"[""https://eulen-greifvogelschutz.de/""]",Appenheim,"[""[\""Eulen\"", \""Greifv\\u00f6gel\""]""]",,https://vbu-ffm.de/pflegestationen.shtml
1173,yes,yes,yes,,LIST,2,Greifvogelpflegestation Lampertheim,"Heide 47, 68623 Lampertheim","[""06206-912030"", ""06206 912 030""]","[""ron.kilian@bps-kilian.de""]",,Lampertheim,"[""[\""Greifv\\u00f6gel\"", \""Eulen\""]""]",,https://vbu-ffm.de/pflegestationen.shtml https://wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-hessen-rheinland-pfalz-saarland
1192,yes,no,yes,translated: description rendered in English,HUB|IRRELEVANT|SHELTER|STATION,11,Tierschutzverein Löffingen,"Hebelstraße 9, 79843 Löffingen","[""07654 - 314"", ""07654-314""]","[""info@tierheim-loeffingen.de""]","[""https://tierheim-loeffingen.de/""]","Löffingen, Titisee-Neustadt, Hüfingen, Donaueschingen","[""[]"", ""[\""Kittens\""]"", ""[\""Kittens\"", \""Mice\"", \""Small rodents\"", \""Wild free-roaming cats\"", \""Dogs\"", \""Pet birds\"", \""Wild animals\"", \""Exotic animals\"", \""Domestic livestock\""]"", ""[\""Cats\"", \""Dogs\"", \""Small mammals (Hamsters, Guinea pigs, Dwarf rabbits, Rabbits)\"", \""Wild stray cats\""]"", ""[\""Kittens\"", \""Rabbits\"", \""Guinea pigs\"", \""Dogs (rarely)\"", \""Cats\""]"", ""[\""Kittens\"", \""Cats of all ages\"", \""Small animals like rabbits or guinea pigs\""]""]","Since 1996, our association has operated a Tierauffangstation (animal rescue station) with an animal shelter. It is the only animal shelter along the B31 between Freiburg and Donaueschingen and likely the smallest in Germany with approx. 140 sqm of usable area. The station accepts all animals that are in distress or cannot be cared for by their owners. Our shelter includes a cat house with an outdoor run (including a small animal room), a free-access retreat space for wild stray cats, a quarantine house with four cat boxes and two dog boxes including an office and storage area. A large forecourt ('Summer Frische') connects both houses and is used extensively in summer months.",http://tierheim-loeffingen.de/ http://tierheim-loeffingen.de/aktuell.html http://tierheim-loeffingen.de/geldspenden.html http://tierheim-loeffingen.de/helfen.html http://tierheim-loeffingen.de/kontakt.html http://tierheim-loeffingen.de/kontakt/30-tierschutzverein-loeffingen.html http://tierheim-loeffingen.de/tierheim/aufgaben-im-tierheim.html http://tierheim-loeffingen.de/tierheim/oeffnungszeiten.html http://tierheim-loeffingen.de/tierheim/tierauffangstation.html http://tierheim-loeffingen.de/ti
1240,yes,yes,yes,formatting: postcode prefixes as address,LIST,1,Eichhörnchen in Not - München,80... - 81...,"[""0176-55376864""]",,"[""https://www.xn--eichhrnchen-in-not-h3b.de/bayern/m\u00fcnchen/""]",München,"[""[]""]",,https://xn--eichhrnchen-in-not-h3b.de/bayern
1242,yes,yes,yes,formatting: markup inside telephone,LIST,1,"Eichhörnchen in Not - Bamberg, Forchheim, Erlangen, Fürth, Schwabach, Nürnberg, Höchstadt",904...913..,"[""0174-7601646## 0160-8149003""]",,"[""https://www.xn--eichhrnchen-in-not-h3b.de/bayern/bamberg-forchheim-erlangen-f\u00fcrth-schwabach-n\u00fcrnberg-h\u00f6chstadt/""]","Nürnberg, Bamberg, Erlangen, Fürth, Schwabach, Höchstadt","[""[]""]",,https://xn--eichhrnchen-in-not-h3b.de/bayern
1256,yes,no,yes,,SHELTER,1,Tierheim Passau,"Kelberger Weg 13a, 94036 Passau","[""0851/2502""]","[""info@tierheim-passau.de""]","[""https://tierheim-passau.de/""]",Passau,"[""[\""Hunde\"", \""Katzen\"", \""Kleintiere\""]""]","Das Tierheim liegt idyllisch und leicht erreichbar am Stadtrand von Passau. Wir helfen Tieren, die ausgesetzt wurden, familiär vertrieben wurden oder tierquälerischen Haltern entzogen werden müssen. Wir versorgen die Tiere und ziehen bei Krankheit einen Tierarzt hinzu. Unser Ziel ist es, die Tiere in ein liebevolles dauerhaftes Zuhause zu vermitteln.",http://tierschutzbewegung.de/
1264,yes,no,yes,,SANCTUARY,1,Elztal-Gnadenhof,,,,"[""https://www.elztal-gnadenhof.de/""]",,"[""[\""Hunde\"", \""Katzen\"", \""Riesenschwein\"", \""G\\u00e4nsen\"", \""Enten\"", \""H\\u00fchnern\"", \""Meerschweinchen\"", \""Hasen\"", \""Igel\"", \""Chinchillas\""]""]","Vor 30 Jahren fing alles an mit zwei kleinen Hunden. Der Schwerpunkt liegt heute bei nicht vermittelbaren, chronisch kranken (Krebs, Arthrose, Herz usw.), seelisch gestörten und vor allem alten Hunden, die eine Dauermedikation benötigen. Spezialisiert haben wir uns besonders auf große Hunderassen, wie Dobermann und Rottweiler, die durch Überzüchtung für Herz- und Gelenkkrankheiten vorbelastet sind. Und Hunde, bei denen die Vorurteile - auch tierlieber Menschen - größer sind als die Hilfsbereitschaft ! Die Hunde sind paarweise im Haus untergebracht und haben einen großen Freilauf zum Toben und Spielen. Zwingerhaltung gibt es bei uns nicht.",https://elztal-gnadenhof.de.tl/
1268,yes,yes,yes,,STATION,1,FreiKitz – Freiensteinauer Kitzrettung e. V.,"c/o Christine Dietrich, Hofweg 4, 36399 Freiensteinau","[""0160-2772337""]","[""freikitz@gmx.de""]","[""https://freikitz.de/""]",,"[""[]""]",,https://freikitz.de/kontakt
1278,yes,no,yes,,SHELTER,1,SOS Meerschweinchen e.V.,,"[""06340-6833""]","[""info@sos-meerschweinchen.de""]","[""https://www.sos-meerschweinchen.de""]",,"[""[]""]","Liebe Meerschweinchenfreunde, schön, dass ihr den Weg zu uns gefunden habt! Die letzten Jahre waren für unseren Verein nicht immer leicht. Wie viele andere Tierschutzvereine haben auch wir gemerkt, wie schwierig es geworden ist, genügend aktive Unterstützung zu finden. Umso mehr freuen wir uns, nun mit neuer Kraft nach vorne zu blicken: Mit neuem Vorstand, frischen Ideen, viel Motivation und unseren langjährigen aktiven Mitgliedern im Hintergrund möchten wir gemeinsam ein neues Kapitel für SOS-Meerschweinchen e.V. aufschlagen. Auch wenn wir aktuell noch keine Tiere aufnehmen können, arbeiten wir im Hintergrund mit Hochdruck daran, dies schnellstmöglich zu ändern, damit wir bald wieder vielen Fellnasen helfen können. Dafür brauchen wir vor allem eins: Pflegestellen! Wenn ihr Platz, Zeit und Lust habt, Meerschweinchen auf ihrem Weg in ein neues Zuhause zu begleiten, meldet euch gerne bei uns - wir freuen uns über jede helfende Hand.",https://sos-meerschweinchen.de/
1304,yes,no,yes,,SHELTER,2,Tierheim Mannheim,,"[""+49 621 311151""]",,"[""https://www.tierheim-mannheim.de/""]",,"[""[\""Hunde\"", \""Katzen\"", \""Nager\"", \""V\\u00f6gel\"", \""Exoten\""]""]",,http://tierheim-mannheim.de/ http://tierheim-mannheim.net/kontakt
