entity_id,relevant,wildlife,contactable,problem,source_categories,n_sources,name,address,telephone,e-mail,station_url,service_area,accepted_animals,description,source_urls
4620,unsure,unsure,yes,scope: stork reintroduction group,LIST,1,Storchengemeinschaft Wiesbaden-Schierstein e. V.,"Postfach 130 188, 65089 Wiesbaden","[""0151/ 2752 1468""]","[""schiersteinerstoerche@gmx.de""]","[""http://www.schiersteinerst\u00f6rche.de/""]",Mainz/Wiesbaden,"[""[\""St\\u00f6rche\""]""]",,https://rlp.nabu.de/tiere-und-pflanzen/tieren-helfen/pflege-und-auffangstationen
4622,yes,yes,yes,,LIST,1,NABU - Greifvogelstation Hassloch,,"[""0171/ 2858257""]","[""Greifvogelstation-Hassloch@t-online.de""]","[""http://www.NABU-Hassloch.de""]",Südpfalz,"[""[\""Greifv\\u00f6gel\"", \""Eulen\""]""]",,https://rlp.nabu.de/tiere-und-pflanzen/tieren-helfen/pflege-und-auffangstationen
4626,unsure,unsure,yes,scope: animal welfare ranch,LIST,1,Tierhilfeverein Keller-Ranch e.V.,"Im Wasserlauf 3, 64331 Weiterstadt","[""06150/ 5049343""]","[""Kontakt@Kellers-Ranch.de""]","[""http://www.kellers-ranch.de/""]",Weiterstadt/ Darmstadt,"[""[\""Wildtiere\""]""]",,https://rlp.nabu.de/tiere-und-pflanzen/tieren-helfen/pflege-und-auffangstationen
4634,yes,yes,yes,,LIST,2,Greifvogelpflegestation Bad Vilbel,"Kreisstraße 30, 61118 Bad Vilbel","[""01512-7705235""]","[""mailto:ralf.armbrust@drv-hessen.de""]",,Bad Vilbel (Sachsenhausen),"[""[\""Greifv\\u00f6gel\"", \""Eulen\""]""]",,https://vbu-ffm.de/pflegestationen.shtml
4646,yes,yes,yes,,LIST,4,"Kleinsäugerpflegestation ""Koboldhof"" Bad König","Klosterwaldstraße 10a, 64732 Bad König","[""0163-3515058"", ""0163 351 50 58""]","[""mailto:korinna.seybold@gmx.de"", ""info@wildtierhilfe-odenwald.de""]","[""https://www.wildtierhilfe-odenwald.de/"", ""http://www.wildtierhilfe-odenwald.de/""]",Bad König (Nieder-Kinzig),"[""[\""Einheimische Kleins\\u00e4uger (Bilche, Eichh\\u00f6rnchen, Feldhasen, Flederm\\u00e4use und Wildkaninchen)\""]"", ""[]"", ""[\""Wildlebende Kleins\\u00e4uger wie Eichh\\u00f6rnchen, Bilche (z.B. Siebenschl\\u00e4fer), Feldhasen, Flederm\\u00e4use\""]""]",,https://deutsche-wildtierrettung.de/wildtierauffangstationen https://vbu-ffm.de/pflegestationen.shtml https://wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-hessen-rheinland-pfalz-saarland
4656,unsure,unsure,yes,scope: falconry and nature centre,LIST,1,Falkenhof Potsdam,,"[""+49 331 8700796""]","[""info@waldhaus-potsdam.de""]","[""http://www.waldhaus-potsdam.de/""]",Berlin + Brandenburg,"[""[\""Greifv\\u00f6gel\"", \""Eulen\""]""]",,https://deutsche-wildtierrettung.de/wildtierauffangstationen
4672,yes,yes,no,name: places; only a directory link,LIST,1,Berlin / Brandenburg,,,,"[""https://www.xn--eichhrnchen-in-not-h3b.de/berlin/berlin-brandenburg/""]",Berlin / Brandenburg,"[""[]""]",,https://xn--eichhrnchen-in-not-h3b.de/berlin
4677,yes,yes,yes,,LIST,2,Private Vogel- und Igelpflegestation Bad Elster,"Untere Reuth 8, 08645 Bad Elster","[""037437/3925""]","[""heinrich-foerdermittelberatung@t-online.de""]","[""https://wp.wildvogelhilfe.org/auffangstationen/""]",PLZ-Gebiet 0,"[""[\""Singv\\u00f6gel\"", \""Schwalben\"", \""Mauersegler\""]"", ""[\""Singv\\u00f6gel\"", \""Schwalben\"", \""Mauersegler\"", \""Kleins\\u00e4uger\"", \""Igel\"", \""Eichh\\u00f6rnchen\""]""]",,https://wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-dresden-chemnitz-leipzig-sachsen https://wp.wildvogelhilfe.org/auffangstationen/auffangstationen-plz-gebiet-0
4684,yes,yes,yes,,LIST,1,Wildtierauffangstation,01796 Pirna,,,"[""https://bff-bartling.de/Wildtierauffangstation/""]",Pirna und Umgebung,"[""[\""V\\u00f6gel (auch Greifv\\u00f6gel, Mauersegler)\"", \""S\\u00e4ugetiere (Marder, Bilche, Igel)\"", \""Flederm\\u00e4use\""]""]",,https://wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-dresden-chemnitz-leipzig-sachsen
4687,yes,yes,yes,,LIST,1,Tierzentrum Leuthen / Igelnetzwerk Lausitz e.V.,03116 Drebkau / OT Leuthen,"[""0356 02 51437""]","[""info@tierzentrum-leuthen.de""]",,Lausitz,"[""[\""Igel\"", \""Eichh\\u00f6rnchen\""]""]",,https://wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-dresden-chemnitz-leipzig-sachsen
