entity_id,relevant,wildlife,contactable,problem,source_categories,n_sources,name,address,telephone,e-mail,station_url,service_area,accepted_animals,description,source_urls
3080,yes,yes,yes,,LIST|STATION,5,Wildtierhilfe Rhein-Nahe e.V.,"Altegasse 38, 55218 Ingelheim am Rhein","[""016091154350""]","[""info@wildtierhilfe-rhein-nahe.de"", ""mailto:info@wildtierhilfe-rhein-nahe.de""]","[""https://wildtierhilfe-rhein-nahe.de/"", ""http://www.wildtierhilfe-rhein-nahe.de/""]",Ingelheim am Rhein,"[""[\""Igel\"", \""Kaninchen\"", \""Hasen\"", \""alle Mausarten\"", \""Bilche\"", \""Eichh\\u00f6rnchen\"", \""Garten- und Rabenv\\u00f6gel\""]"", ""[\""Igel\"", \""Eichh\\u00f6rnchen\"", \""Bilche\"", \""Wildv\\u00f6gel\"", \""Flederm\\u00e4use\""]"", ""[\""Igel\"", \""Eichh\\u00f6rnchen\"", \""Bilche\"", \""M\\u00e4use\"", \""Wildkaninchen\"", \""Feldhase\"", \""Wild-und Gartenv\\u00f6gel\""]""]",,https://vbu-ffm.de/pflegestationen.shtml https://wildtierhilfe-rhein-nahe.de/ https://wildtierhilfe-rhein-nahe.de/kontakt https://wildtierschutz-deutschland.de/wildtier-notfall/wildtierauffangstationen-rheinland-pfalz-saarland-nrw
3082,yes,yes,yes,,LIST|STATION,3,Auffangstation | StadtWaldHaus & Fasanerie - Frankfurt am Main,"Adam-Riese-Straße 25, 60327 Frankfurt; Isenburger Schneise, 60528 Frankfurt","[""(069) 212 - 73322""]","[""StadtWaldHaus@stadt-frankfurt.de"", ""mailto:stadtwaldhaus@stadt-frankfurt.de""]","[""https://stadtwaldhaus-frankfurt.de/auffangstation/""]",Frankfurt am Main,"[""[\""Wildv\\u00f6gel\"", \""Greifv\\u00f6gel\"", \""M\\u00e4usebussarde\"", \""Schleiereulen\"", \""Igel\"", \""Eichh\\u00f6rnchen\"", \""Der Eichelh\\u00e4her\"", \""Waldkauz\""]"", ""[\""Wildv\\u00f6gel jeglicher Art\""]""]",Auf dem Gelände der Fasanerie betreibt die Stadt Frankfurt eine Auffang- und Pflegestation für verunfallte Wildtiere. Vorrangig werden Wildvögel aufgenommen und nach Möglichkeit gesund gepflegt und wieder ausgewildert.,https://stadtwaldhaus-frankfurt.de/auffangstation https://vbu-ffm.de/pflegestationen.shtml
3084,yes,yes,yes,,STATION,1,Igelzentrum Zürich,,,,"[""https://igelzentrum.ch""]",,"[""[\""Igel\""]""]","Das Igelzentrum ist als Verein organisiert, wird mit Spendengeldern betrieben und setzt sich seit 1998 für das Wildtier Igel ein. Telefonische Beratung und medizinische Versorgung der Igel sind kostenlos.",https://igelzentrum.ch/
3086,yes,yes,yes,,LIST|STATION,3,Greifvogelpflegestation Feldberg/Taunus,"Großer Feldberg 7, 61389 Schmitten","[""+49(0)6174 7545"", ""06174-7545""]","[""info@falkenhof-feldberg.de"", ""mailto:info@falknerei-feldberg.de""]","[""https://www.falkenhof-feldberg.de/kontakt/"", ""http://falknerei-feldberg.de/""]",Schmitten (Oberreifenberg),"[""[]"", ""[\""Greifv\\u00f6gel\"", \""Eulen\""]""]",,http://falknerei-feldberg.de/kontakt https://vbu-ffm.de/pflegestationen.shtml
3087,yes,yes,yes,,LIST|STATION,7,Wildtierhilfe Schäfer e.V.,"An der Ohm 10, 35325 Mücke/Wettsaasen","[""+49 (0)64009575259""]","[""info@wildtierhilfe-schaefer.de"", ""mailto:tanja_schaefer1@web.de""]","[""https://www.wildtierhilfe-schaefer.de"", ""http://www.wildtierhilfe-schaefer.de""]",Deutschland,"[""[\""Eichh\\u00f6rnchen\"", \""Reh\"", \""Waschb\\u00e4r\"", \""Feldhase\"", \""Igel\"", \""Singv\\u00f6gel\"", \""Dachs\"", \""Wildvogel\"", \""Bilch & Co.\"", \""Wassergefl\\u00fcgel\"", \""Fuchs\"", \""Marder\""]"", ""[\""Singv\\u00f6gel\"", \""Eichh\\u00f6rnchen\"", \""Igel und Bilche\"", \""Wassergefl\\u00fcgel\""]"", ""[\""Singv\\u00f6gel\"", \""Eichh\\u00f6rnchen\"", \""Igel und Bilche\"", \""Wassergefl\\u00fcgel und weitere\""]""]","Wir helfen bei der Rettung und Versorgung von Wildtieren. Bitte beachten Sie, dass wir keine Tiere abholen können.",http://wildtierhilfe-schaefer.de/kontakt https://vbu-ffm.de/pflegestationen.shtml
3091,unsure,unsure,yes,"scope: information site, takes no animals",STATION,1,Fuchs-Hilfe,"Friedenstr. 4, 35444 Biebertal, Deutschland","[""0170 - 14 80 81 8""]","[""info@Fuchs-Hilfe.de""]","[""https://www.fuchs-hilfe.de/index.htm""]",,"[""[]""]",,http://fuchs-hilfe.de/kontakt.htm
3093,no,no,yes,scope: fawn-rescue group,STATION,1,Wildtierschutz Dreisamtal e.V.,"Prägenhofstraße 32, 79256 Buchenbach","[""+49) 07661 9709242""]","[""kitzrettung@online.de""]","[""https://wildtierschutz-dreisamtal.de/""]",,"[""[]""]",,http://wildtierschutz-dreisamtal.de/
3102,yes,yes,yes,,STATION,2,Eichhörnchen Station Gilching e. V.,"Dorfstraße 5, 82205 Gilching","[""01728926323"", ""+49 172 8926323""]","[""info@eichhoernchen-station-gilching.de""]","[""https://eichhoernchen-station-gilching.de/""]",,"[""[]""]","Seit 2015 helfen wir Eichhörnchen und anderen Wildtieren in Not. Zudem arbeiten wir eng mit Veterinärämtern, Behörden, Biberberater:innen, Tierheimen und Tierärzt:innen zusammen.",https://eichhoernchen-station-gilching.de/ https://eichhoernchen-station-gilching.de/kontakt
3106,no,no,yes,scope: fawn-rescue group,STATION,2,Wildtierrettung Wilde Herzen Ammerland e. V.,"Friedrichsfehner Straße 1b, 26188 Edewecht",,"[""wildtierrettung-ammerland@web.de""]","[""https://wildtierrettung-ammerland.de/""]",Ammerland,"[""[\""Rehkitz\"", \""Eule\"", \""Specht\"", \""Wildgans\"", \""Jungtiere\""]"", ""[\""Rehkitz\"", \""Eule\"", \""Spechtk\\u00fckken\"", \""Wildunfall\"", \""Igel\"", \""Vogel / Jungvogel\"", \""Haustiere (Hund, Katze)\"", \""Tote Fundtiere / Haustiere\""]""]",Wir garantieren frische Luft und viel Bewegung.,https://wildtierrettung-ammerland.de/ https://wildtierrettung-ammerland.de/kontakt
3112,no,no,yes,scope: fawn-rescue group,STATION,1,Wildtierrettung Angeln e.V.,,"[""0151 263 718 84""]","[""info@wildtierrettung-angeln.de""]",,,"[""[]""]",,https://wildtierrettung-angeln.de/kontakt
