entity_id,relevant,wildlife,contactable,problem,source_categories,n_sources,name,address,telephone,e-mail,station_url,service_area,accepted_animals,description,source_urls
2483,yes,yes,yes,,STATION,3,Wildtierhilfe an der Loreley,,"[""0171-5413834""]","[""wildtierhilfe-loreley@web.de""]","[""https://www.wildtierhilfe-loreley.de/""]",,"[""[]""]","Hier könnt ihr euch über unsere Arbeit bei der Wildtierhilfe an der Loreley e.V. informieren und uns ein wenig über die Schulter schauen. Wir zeigen euch unsere Neuzugänge, berichten über unsere Schützlinge, geben euch Tipps anhand und starten auch gelegentlich mal Aufrufe für Patenschaften oder Sachspenden, die dringend benötigt werden.",https://wildtierhilfe-loreley.de/ https://wildtierhilfe-loreley.de/anfahrt https://wildtierhilfe-loreley.de/kontakt
2487,no,no,yes,scope: fawn-rescue group,STATION,1,Kitzrettung Holtland e.V.,,,"[""info@kitzrettung-holtland.de""]","[""https://www.kitzrettung-holtland.de""]",,"[""[\""Kitze\"", \""Junghasen\""]""]",,https://kitzrettung-holtland.de/kontakt?dynamisch=1
2496,yes,yes,yes,,STATION,3,Storchenstation | Natur- und Vogelschutz Möhlin,"Leigrubenstrasse 14, 4313 Möhlin","[""+41 77 456 21 35""]","[""d.matti@gmx.ch""]","[""https://moehlin-natur.ch/"", ""https://moehlin-natur.ch"", ""https://moehlin-natur.ch/storchenstation/""]",,"[""[]""]","Die Storchenstation befindet sich in Möhlin im Ortsteil Riburg. Direkt neben einem grossen Kinderspielplatz gelegen, ist die Storchenstation ein ideales Ausflugsziel auch für Familien mit Kindern.",http://moehlin-natur.ch/storchenstation https://moehlin-natur.ch/kontakt https://moehlin-natur.ch/lage-und-kontakt
2497,unsure,unsure,yes,scope: national hedgehog association,STATION,2,Verein pro Igel,"Buristrasse 17, CH 3006 Bern","[""044 767 07 90""]","[""info@pro-igel.ch""]","[""https://www.pro-igel.ch/""]",Bern,"[""[\""Igel\""]""]","Verein pro Igel ist eine Organisation, die sich um den Schutz und das Wohlergehen von Igele in der Schweiz kümmert.",http://pro-igel.ch/igelwissen http://pro-igel.ch/kontakt
2499,yes,yes,yes,,LIST|STATION,3,Igelhilfe Luzern,"Schachenweg 1, 6030 Ebikon","[""077 403 61 93""]","[""info@igelhilfe-luzern.ch""]","[""https://www.igelhilfe-luzern.ch""]",Luzern,"[""[\""Igel\""]""]","Wir, der Verein Igelhilfe Luzern, kümmern uns um Igel in Not und klären über Schutzmöglichkeiten für den Igel auf. Wir pflegen verletzte und hilfsbedürftige Igel, damit sie sich anschliessend wieder in der Natur zurechtfinden können. Wir ziehen verwaiste Igelbabies auf und wildern sie an geeigneten Orten aus. Wir klären interessierte Menschen über igelgerechte Gärten und Gefahren auf.",http://igelhilfe-luzern.ch/ http://igelhilfe-luzern.ch/kontakt
2505,yes,yes,yes,,STATION,1,Igelpflegestation und Naturlehrpfad | Walter Zoo,"Neuchlen 200, CH-9200 Gossau SG","[""+41 71 387 50 50""]",,"[""https://www.walterzoo.ch/tiere-artenschutz/wildtierpflegestationen""]",,"[""[\""Igel\""]""]","In unserer Igelpflegestation werden pflegebedürftige Igel nach telefonischer Voranmeldung aufgenommen und behandelt, bis sie wieder gesund genug sind, um sie dem Finder zur Wiederauswilderung zurückzugeben. Auf dem angegliederten Naturlehrpfad kann die einheimische Natur erlebt werden und Sie erhalten Tipps, wie auch Sie in Ihrem Garten die einheimische Natur fördern können.",http://igelpflegestation.ch/
2529,yes,yes,yes,,STATION,1,Eichhörnchenhilfe Ulm / Neu-Ulm,,,,"[""https://www.instagram.com/eichhoernchenhilfe_ulm_neuulm/""]",,"[""[\""Eichh\\u00f6rnchen\""]""]","Wir sind eine private, auf Eichhörnchen spezialisierte Auffangstation und Pflegestelle in Neu-Ulm. In Not geratene Tiere werden bei uns liebevoll und sachkundig betreut, bis sie schließlich wieder ausgewildert werden können. Für die tierärztliche Versorgung besteht eine enge Kooperation mit einer Kleintierpraxis in der Nähe. Wir besitzen die Sachkunde nach §11 des Tierschutzgesetzes.",https://eichhoernchenhilfe-neu-ulm.de/
2530,unsure,unsure,yes,"scope: 24h wildlife rescue team, mostly fawn and technical rescue",STATION,2,Wildtierhilfe Amerang e.V.,,,,"[""https://www.wildtierhilfeamerang.org/""]",,"[""[\""Kitzrettung\"", \""Fledermausstation S\\u00fcdostbayern\"", \""Igelhilfe\"", \""Amphibienhilfe\"", \""Marderhilfe\"", \""Andere Wildtiere in Not\""]"", ""[\""Kitze\"", \""Flederm\\u00e4use\"", \""Igel\"", \""Amphibien\"", \""Marder\"", \""Andere Wildtiere in Not\""]""]","Mit über 100 ehrenamtlich Aktiven leistet die Wildtierhilfe Amerang 24/7 ganzjährig Nothilfe für Wildtiere aller Art. Wir sind Ansprechpartner und Ratgeber für Finder, und Vermittlungshilfe und Erstversorger für Fundtiere. Unsere Auffangstation in Amerang und ihre dezentralen Behandlungs- und Pflegestellen retten und versorgen Hunderte von Notfällen im Jahr. Ein weit gespanntes Netzwerk kompetenter Partnerstellen ermöglicht uns die artgerechte, fachlich kompetente Versorgung jeder einheimischen Wildtierart.
2019 gegründet, wuchs der Verein rasch und konnte seine Aktivitäten Schritt für Schritt ausweiten. All unsere intensive, mit Herz und Seele geleistete Arbeit findet ehrenamtlich statt, neben Beruf, Familie, Haus und Hof. Wir freuen uns dabei über Unterstützung, sei es durch Mitgliedschaft und Spenden, oder durch aktives Mitmachen.",https://wildtierhilfeamerang.org/ https://wildtierhilfeamerang.org/kontakt
2533,yes,yes,yes,,STATION,2,Eichhörnchen Station Gilching e. V.,"Dorfstraße 5, 82205 Gilching","[""01728926323"", ""+49 172 8926323""]","[""info@eichhoernchen-station-gilching.de""]","[""https://eichhoernchen-station-gilching.de/""]",,"[""[]""]","Seit 2015 helfen wir Eichhörnchen und anderen Wildtieren in Not. Zudem arbeiten wir eng mit Veterinärämtern, Behörden, Biberberater:innen, Tierheimen und Tierärzt:innen zusammen.",https://eichhoernchen-station-gilching.de/ https://eichhoernchen-station-gilching.de/kontakt
2534,no,no,yes,scope: wildlife advocacy association,STATION,1,Wildes Bayern e.V.,"Hirschbergstraße 1, 83714 Miesbach","[""08022 66 53 030""]","[""info@wildes-bayern.de""]","[""https://www.wildes-bayern.de/kontakt/""]",,"[""[]""]",,https://wildes-bayern.de/kontakt
2537,no,no,yes,scope: fawn-rescue group,STATION,1,Rehkitzrettung Hütten - Bubenorbis,"Schweizerhof 2, 71543 Wüstenrot",,"[""info@rehkitz-rettung.eu""]","[""www.rehkitz-rettung.eu""]",,"[""[]""]",,https://rehkitz-rettung.eu/
